Details of Incentives and Financial Assistance extended to MSME units in Karnataka  as per Industrial Policy 2014-19,,,,,,,
Sl.No,District,Name of the Unit & Unit Address,,Incentive,"Amount  
(In Rs.)",Year,
72,BENGALURU URBAN,"M/s. Micro Polymers, ","No: B-184, 4th Main Road, 2nd Stage, Peenya Industrial Area, Bengaluru-560 058.                                                 ",International Organization for Standardization," 75,000 ",2017-18,
73,Belagavi,"M/s. Positron Engineering Corporation, ","Plot No. 42, Vishveshwaraiah Industrial Park Machhe, Belagavi-590014.                ",International Organization for Standardization," 38,810 ",2017-18,
74,BENGALURU URBAN,"M/s. Sri Vijaya Sai Heat Carbo, ","No: M9, 7th Cross, Peenya 1st Stage, Bangalore-58                                      ",International Organization for Standardization," 38,720 ",2017-18,
75,BENGALURU URBAN,"M/s. CNC Die Castings, ","# 15, Sir M. Vishveshwaraiah Industrial Area, Avalahalli, Bangalore.                                                                   ",International Organization for Standardization," 29,490 ",2017-18,
76,BENGALURU URBAN,"M/s. Omega Furnaces Pvt. Ltd., ","No. 16/2, 1st Cross, S.M. Road, Jalahalli West, Bangalore-560015.                                                                   ",International Organization for Standardization," 36,330 ",2017-18,
77,BENGALURU URBAN,M/s Klad on Design Pvt Ltd. ,"No 5 & 6, Survey No 38/2, Nadakerappa Inl Estate, Andrahalli main Road, Peenya 2nd Stage, Bangalore - 560091                                      ",International Organization for Standardization," 66,166 ",2017-18,
78,BENGALURU URBAN,"M/s Akhand Bharath NDT Services, ","No 40, Byraveshswara Nagar, Sidedahalli, Nagasandra Post Office, Bangalore - 560073                               ",International Organization for Standardization," 40,969 ",2017-18,
79,UDUPI,"M/s Radhika Cashews , ","Belve Kundapura Tq, Udupi Dist               ",International Organization for Standardization," 75,000 ",2017-18,
80,SHIVAMOGGA,"M/s Radiant Arcade, ","Opp ZP Office, Kuvempu Road, Park Extension Shimoga - 577201                                   ",International Organization for Standardization," 31,347 ",2017-18,
81,BENGALURU URBAN,"M/s. Comet Environs, ","No. B-57, 3rd Stage, Peenya Industrial Estate, Bengaluru-580 058.                                              ",International Organization for Standardization," 75,000 ",2017-18,
82,VIJAYAPURA,"M/s. Rowan Agro Nature Pvt. Ltd., ","No. 69, Block II, Aliyabad Industrial Area, Vijayapura- 586104       
",International Organization for Standardization," 60,500 ",2018-19,
83,BENGALURU URBAN,"M/s. Fortune Engineering,  ","No. V-17, 2nd 'C' Main, 2nd Stage, Peenya Industrial Estate, Bangalore-560 058.                                            ",International Organization for Standardization," 44,660 ",2018-19,
84,BENGALURU URBAN,"M/s Newfield Engineers Pvt. Ltd., ","No. 47, 4th Phase, Bommasandra Indl. Area, Bangalore-560 099.                                                                                     ",International Organization for Standardization," 47,370 ",2018-19,
85,BENGALURU URBAN,"M/s. Indian Finishinng Technologies Pvt. Ltd., ","No. 45/125, 1st Floor, Hanumanthanagar, Srigandhakaval,  Magadi Road, Sunkadakatte, Bangalore- 560091.                                                                          ",International Organization for Standardization," 64,350 ",2018-19,
86,BENGALURU URBAN,"M/s. Transerect Testing And Commissioning Engineers Pvt. Ltd.,"," No. 40, Leelavathi Mansion, 3rd Main Road, 6t Cross, Malleswaram Ground, Malleswaram, Bangalore- 560003.                                                                     ",International Organization for Standardization," 52,180 ",2018-19,
87,KOLAR,"M/s. R.R. Precision (India) Pvt. Ltd., ","No. 25/1, Tamaka Industrial Area, Kolar-563 101.                                         ",International Organization for Standardization," 32,500 ",2018-19,
88,BENGALURU URBAN,"M/s. G.V. Enterprises, ","No.45/12, Gubbanna Industrial Area, 6th Block, Rajajinagar, Bangaluru- 560 010.                                                         ",International Organization for Standardization," 75,000 ",2018-19,
89,BENGALURU URBAN,"M/s. Fortune Industries, ","No. 438, 12th Cross, 4th Phase, Peenya Indl. Area, Bangalore- 560058.                          ",International Organization for Standardization," 44,580 ",2018-19,
90,Belagavi,"M/s. Digvijaya Industries, ","Plot No. 15/B-5, S.R. No. 336/1, BEMCIL Industrial Area, Udyambag, Belagavi.                                             ",International Organization for Standardization," 56,925 ",2018-19,
91,BENGALURU URBAN,"M/s. Fortune Engineering, & Heat Treaters, ","No: 438, 12th Cross, 4th Phase, Peenya Industrial Area, Bangalore- 560 058.                                          ",International Organization for Standardization," 42,258 ",2018-19,
92,BENGALURU URBAN,"M/s. VBG Engineering, ","No. R-19, Veerasandra Industrial Area, Stage-02, Huskur Main Road, Electronic City Post, Bangalore- 560100.                                                        ",International Organization for Standardization," 53,539 ",2018-19,
93,BENGALURU URBAN,"M/s. Samarth Engineering, ","No. 1/4, 61/212, 1st Main, 1st Cross, Bhyraveshwara Nagar Industraial Estate, Peenya 2nd Stage, Bangalore.                                                       ",International Organization for Standardization," 53,700 ",2018-19,
